1260 & 2896 & 698 & 1193 \\ 
781 & 1576 & 376 & 730 \\ 
790 & 2668 & 343 & 579 \\ 
781 & 2667 & 377 & 714 \\ 
482 & 1590 & 340 & 624 \\ 
476 & 1575 & 386 & 779 \\ 
495 & 2574 & 342 & 606 \\ 
470 & 2564 & 379 & 748 \\ 
0 & 0 & 0 & 0 \\ 
930 & 1912 & 382 & 673 \\ 
784 & 1532 & 371 & 713 \\ 
786 & 2641 & 335 & 571 \\ 
779 & 2625 & 377 & 706 \\ 
502 & 1548 & 338 & 593 \\ 
461 & 1600 & 384 & 733 \\ 
502 & 2564 & 349 & 613 \\ 
462 & 2536 & 374 & 704 \\ 
0 & 0 & 0 & 0 \\ 
2256 & 3396 & 373 & 666 \\ 
2548 & 3708 & 479 & 888 \\ 
2011 & 6470 & 357 & 597 \\ 
1959 & 6374 & 365 & 682 \\ 
743 & 2941 & 326 & 581 \\ 
748 & 2981 & 377 & 747 \\ 
771 & 6553 & 369 & 618 \\ 
739 & 6339 & 377 & 727 \\ 
0 & 0 & 0 & 0 \\ 
3732 & 5085 & 329 & 575 \\ 
3606 & 4800 & 361 & 693 \\ 
3613 & 11740 & 373 & 560 \\ 
3589 & 11581 & 378 & 689 \\ 
1063 & 4807 & 329 & 602 \\ 
1052 & 4790 & 372 & 716 \\ 
1302 & 13635 & 506 & 743 \\ 
1203 & 12781 & 458 & 804 \\ 
0 & 0 & 0 & 0 \\ 
7045 & 8959 & 335 & 581 \\ 
6932 & 8745 & 381 & 730 \\ 
6808 & 21984 & 356 & 557 \\ 
7485 & 24292 & 480 & 783 \\ 
1820 & 8724 & 342 & 623 \\ 
1901 & 9160 & 430 & 761 \\ 
1854 & 22215 & 376 & 607 \\ 
1844 & 22313 & 422 & 746 \\ 
0 & 0 & 0 & 0 \\ 
7057 & 8940 & 338 & 574 \\ 
6845 & 8673 & 396 & 714 \\ 
6795 & 21952 & 339 & 558 \\ 
7503 & 24733 & 498 & 829 \\ 
1845 & 8904 & 360 & 633 \\ 
2388 & 10888 & 627 & 1113 \\ 
1875 & 22566 & 408 & 617 \\ 
1812 & 22475 & 404 & 733 \\ 
0 & 0 & 0 & 0 \\ 
13427 & 16317 & 330 & 581 \\ 
13278 & 16137 & 380 & 715 \\ 
13217 & 42477 & 351 & 587 \\ 
13258 & 42404 & 379 & 719 \\ 
3183 & 16028 & 329 & 599 \\ 
3196 & 16152 & 379 & 713 \\ 
3201 & 42281 & 350 & 609 \\ 
3185 & 42255 & 385 & 715 \\ 
0 & 0 & 0 & 0 \\ 
5055 & 15484 & 2100 & 3614 \\ 
4650 & 9257 & 2423 & 4227 \\ 
3759 & 12790 & 1629 & 2791 \\ 
3064 & 10349 & 1463 & 2806 \\ 
1352 & 4456 & 1012 & 1723 \\ 
1299 & 4352 & 1111 & 2088 \\ 
1223 & 6694 & 930 & 1598 \\ 
871 & 4787 & 721 & 1326 \\ 
0 & 0 & 0 & 0 \\ 
4428 & 6719 & 348 & 571 \\ 
4419 & 5827 & 385 & 716 \\ 
4841 & 15757 & 395 & 676 \\ 
9655 & 30883 & 850 & 1547 \\ 
1283 & 5858 & 333 & 614 \\ 
1249 & 5801 & 392 & 768 \\ 
1275 & 14280 & 363 & 636 \\ 
1253 & 14328 & 393 & 747 \\ 
0 & 0 & 0 & 0 \\ 
4453 & 6627 & 328 & 569 \\ 
4909 & 5830 & 412 & 720 \\ 
4626 & 15033 & 365 & 645 \\ 
19689 & 63907 & 1699 & 3136 \\ 
3692 & 16389 & 978 & 1750 \\ 
2654 & 12287 & 807 & 1614 \\ 
2151 & 23793 & 607 & 1005 \\ 
1575 & 17798 & 475 & 959 \\ 
0 & 0 & 0 & 0 \\ 
371 & 997 & 312 & 546 \\ 
370 & 999 & 358 & 682 \\ 
368 & 1228 & 319 & 542 \\ 
369 & 1222 & 355 & 676 \\ 
391 & 1037 & 328 & 586 \\ 
369 & 1032 & 368 & 716 \\ 
387 & 1249 & 341 & 590 \\ 
373 & 1248 & 361 & 708 \\ 
0 & 0 & 0 & 0 \\ 
2010 & 2933 & 341 & 597 \\ 
1983 & 2917 & 389 & 726 \\ 
1991 & 6393 & 351 & 600 \\ 
1988 & 6407 & 371 & 717 \\ 
741 & 2917 & 317 & 582 \\ 
735 & 2927 & 375 & 732 \\ 
739 & 6333 & 350 & 595 \\ 
738 & 6329 & 368 & 727 \\ 
0 & 0 & 0 & 0 \\ 
830 & 2551 & 339 & 590 \\ 
839 & 1640 & 411 & 799 \\ 
780 & 2616 & 334 & 566 \\ 
789 & 2629 & 372 & 734 \\ 
501 & 1546 & 335 & 600 \\ 
2344 & 7802 & 1994 & 3868 \\ 
2770 & 14264 & 1907 & 3370 \\ 
2165 & 11949 & 1758 & 3304 \\ 
0 & 0 & 0 & 0 \\ 
803 & 2434 & 342 & 577 \\ 
790 & 1523 & 381 & 747 \\ 
784 & 2609 & 338 & 575 \\ 
802 & 2644 & 751 & 725 \\ 
481 & 1575 & 338 & 621 \\ 
1220 & 4032 & 1001 & 2076 \\ 
2033 & 11016 & 1493 & 2634 \\ 
1616 & 8453 & 1240 & 2364 \\ 
